ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
2.0,1,0,0,0,2,0,1.50,23,17,Crismatt,622503.0,,745419,1.0,0,0,0,0,1,0,0.49,22,16,"Suarez, R",663158.0,,Crismatt,"Suarez, R"
IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,Cubs Pitchers,Pirates Pitchers
IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,Cubs Pitchers,Falter
IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,Cubs Pitchers,"Ortiz, L.L."
IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,Cubs Pitchers,Bednar
IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)",Cubs Pitchers,"Chapman  (L, 0-3)"
IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,Cubs Pitchers,Nicolas
5.0,2,1,1,4,5,1,10.04,94,54,Hendricks,543294.0,,745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,Hendricks,Pirates Pitchers
5.0,2,1,1,4,5,1,10.04,94,54,Hendricks,543294.0,,745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,Hendricks,Falter
5.0,2,1,1,4,5,1,10.04,94,54,Hendricks,543294.0,,745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,Hendricks,"Ortiz, L.L."
5.0,2,1,1,4,5,1,10.04,94,54,Hendricks,543294.0,,745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,Hendricks,Bednar
5.0,2,1,1,4,5,1,10.04,94,54,Hendricks,543294.0,,745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)",Hendricks,"Chapman  (L, 0-3)"
